,Buy & Hold,SMA 20/60 crossover,RSI reversion (30/60)
2023-08-29,10000.0,10000.0,10000.0
2023-08-30,9835.014464305215,10000.0,10000.0
2023-08-31,9345.349449408568,10000.0,9487.874638731393
2023-09-01,9296.451757019666,10000.0,9438.231211482289
2023-09-02,9319.673927883798,10000.0,9461.807541847553
2023-09-03,9356.312072110952,10000.0,9499.004451530262
2023-09-04,9304.006347820485,10000.0,9445.901016753149
2023-09-05,9291.78642793666,10000.0,9433.494731832427
2023-09-06,9280.204163070357,10000.0,9421.735826755741
2023-09-07,9458.549426587095,10000.0,9602.801019857257
2023-09-08,9334.440865266994,10000.0,9476.799688631174
2023-09-09,9331.238179896498,10000.0,9473.548159358024
2023-09-10,9309.622755573695,10000.0,9451.6030798992
2023-09-11,9064.975780517476,10000.0,9203.225013070982
2023-09-12,9309.078767394903,10000.0,9451.050795399486
2023-09-13,9446.660943209552,10000.0,9590.731226154903
2023-09-14,9555.001052486168,10000.0,9700.723621915775
2023-09-15,9582.83811644322,10000.0,9728.985226745497
2023-09-16,9568.308948727574,10000.0,9714.234475835925
2023-09-17,9556.72308129055,10000.0,9702.471913245994
2023-09-18,9641.383493221534,10000.0,9788.423474459723
2023-09-19,9802.68859723046,10000.0,9952.1886299212
2023-09-20,9771.973079267756,10000.0,9921.004672010211
2023-09-21,9571.338710703489,10000.0,9717.310444473404
2023-09-22,9575.683410992371,10000.0,9721.721405444627
2023-09-23,9574.177536431216,10000.0,9720.192564908995
2023-09-24,9456.164524770145,10000.0,9600.3797460903
2023-09-25,9476.493831345744,10000.0,9621.019093321325
2023-09-26,9446.542058375777,10000.0,9590.61052821788
2023-09-27,9501.05615851789,10000.0,9645.956018613037
2023-09-28,9734.646844032994,10000.0,9883.109177298065
2023-09-29,9693.422627278685,10000.0,9841.256253256843
2023-09-30,9713.452920484486,10000.0,9861.592026888688
2023-10-01,10084.521307263345,10000.0,10238.319548445083
2023-10-02,9905.091669959746,10000.0,10222.970840310993
2023-10-03,9880.576176206965,10000.0,10222.970840310993
2023-10-04,10007.426293845343,10000.0,10222.970840310993
2023-10-05,9874.786845059174,10000.0,10222.970840310993
2023-10-06,10062.372702473911,10000.0,10222.970840310993
2023-10-07,10071.588078376866,10000.0,10222.970840310993
2023-10-08,10057.314693182374,10000.0,10222.970840310993
2023-10-09,9939.535848618134,10000.0,10222.970840310993
2023-10-10,9867.484434208787,10000.0,10222.970840310993
2023-10-11,9682.096144933537,10000.0,10222.970840310993
2023-10-12,9640.34595285404,10000.0,10222.970840310993
2023-10-13,9677.225469319465,10000.0,10222.970840310993
2023-10-14,9673.795821993579,10000.0,10222.970840310993
2023-10-15,9782.47457291792,10000.0,10222.970840310993
2023-10-16,10267.607553848216,10000.0,10222.970840310993
2023-10-17,10229.827394702676,10000.0,10222.970840310993
2023-10-18,10202.480280363608,10000.0,10222.970840310993
2023-10-19,10344.31709219913,10000.0,10222.970840310993
2023-10-20,10688.48148083754,10000.0,10222.970840310993
2023-10-21,10775.216973503511,10000.0,10222.970840310993
2023-10-22,10804.995823078894,10000.0,10222.970840310993
2023-10-23,11913.697770014891,10000.0,10222.970840310993
2023-10-24,12220.903385632027,10000.0,10222.970840310993
2023-10-25,12427.445970177863,10000.0,10222.970840310993
2023-10-26,12303.377037135688,10000.0,10222.970840310993
2023-10-27,12209.83989094947,10000.0,10222.970840310993
2023-10-28,12277.921272424863,10040.68629980223,10222.970840310993
2023-10-29,12438.196041207735,10171.756424737501,10222.970840310993
2023-10-30,12419.765289401827,10156.68405270916,10222.970840310993
2023-10-31,12479.222116572417,10205.306888509733,10222.970840310993
2023-11-01,12760.820659508472,10435.593642217178,10222.970840310993
2023-11-02,12587.954906057565,10294.226812778572,10222.970840310993
2023-11-03,12506.965513690737,10227.994991908923,10222.970840310993
2023-11-04,12631.358678097757,10329.721718602937,10222.970840310993
2023-11-05,12613.277375651729,10314.935120633774,10222.970840310993
